"","year","coach","team","games_this_year","total_games_coached"
"630",2017,"Doug Marrone","JAX","16","66"
"631",2018,"Doug Marrone","JAX","16","66"
"632",2019,"Doug Marrone","JAX","16","66"
"633",2020,"Doug Marrone","JAX","16","66"
"634",2000,"Vince Tobin","ARI","7","71"
"635",2019,"Zac Taylor","CIN","16","73"
"636",2020,"Zac Taylor","CIN","16","73"
"637",2021,"Zac Taylor","CIN","17","73"
"638",2022,"Zac Taylor","CIN","16","73"
"639",2000,"Dave Wannstedt","MIA","16","73"
"640",2001,"Dave Wannstedt","MIA","16","73"
"641",2002,"Dave Wannstedt","MIA","16","73"
"642",2003,"Dave Wannstedt","MIA","16","73"
"643",2004,"Dave Wannstedt","MIA","9","73"
"644",2023,"Zac Taylor","CIN","9","74"
"645",2019,"Matt LaFleur","GNB","16","74"
"646",2020,"Matt LaFleur","GNB","16","74"
"647",2021,"Matt LaFleur","GNB","17","74"
"648",2022,"Matt LaFleur","GNB","17","74"
"649",2018,"Frank Reich","IND","16","74"
"650",2019,"Frank Reich","IND","16","74"
"651",2020,"Frank Reich","IND","16","74"
"652",2021,"Frank Reich","IND","17","74"
"653",2022,"Frank Reich","IND","9","74"
"654",2006,"Brad Childress","MIN","16","74"
"655",2007,"Brad Childress","MIN","16","74"
"656",2008,"Brad Childress","MIN","16","74"
"657",2009,"Brad Childress","MIN","16","74"
"658",2010,"Brad Childress","MIN","10","74"
"659",2023,"Matt LaFleur","GNB","9","75"
"660",2016,"Jeff Fisher","LAR","13","77"
"661",2012,"Jeff Fisher","STL","16","77"
"662",2013,"Jeff Fisher","STL","16","77"
"663",2014,"Jeff Fisher","STL","16","77"
"664",2015,"Jeff Fisher","STL","16","77"
"665",2023,"Sean Payton","DEN","8","8"
"666",2013,"Bruce Arians","ARI","16","80"
"667",2014,"Bruce Arians","ARI","16","80"
"668",2015,"Bruce Arians","ARI","16","80"
"669",2016,"Bruce Arians","ARI","16","80"
"670",2017,"Bruce Arians","ARI","16","80"
"671",2000,"Dick Jauron","CHI","16","80"
"672",2001,"Dick Jauron","CHI","16","80"
"673",2002,"Dick Jauron","CHI","16","80"
"674",2003,"Dick Jauron","CHI","16","80"
"675",2009,"Jim Schwartz","DET","16","80"
"676",2010,"Jim Schwartz","DET","16","80"
"677",2011,"Jim Schwartz","DET","16","80"
"678",2012,"Jim Schwartz","DET","16","80"
"679",2013,"Jim Schwartz","DET","16","80"
"680",2001,"Dick Vermeil","KAN","16","80"
"681",2002,"Dick Vermeil","KAN","16","80"
"682",2003,"Dick Vermeil","KAN","16","80"
"683",2004,"Dick Vermeil","KAN","16","80"
"684",2005,"Dick Vermeil","KAN","16","80"
"685",2001,"Herm Edwards","NYJ","16","80"
"686",2002,"Herm Edwards","NYJ","16","80"
"687",2003,"Herm Edwards","NYJ","16","80"
"688",2004,"Herm Edwards","NYJ","16","80"
"689",2005,"Herm Edwards","NYJ","16","80"
"690",2016,"Doug Pederson","PHI","16","80"
"691",2017,"Doug Pederson","PHI","16","80"
"692",2018,"Doug Pederson","PHI","16","80"
"693",2019,"Doug Pederson","PHI","16","80"
"694",2020,"Doug Pederson","PHI","16","80"
"695",2002,"Marty Schottenheimer","SDG","16","80"
"696",2003,"Marty Schottenheimer","SDG","16","80"
"697",2004,"Marty Schottenheimer","SDG","16","80"
"698",2005,"Marty Schottenheimer","SDG","16","80"
"699",2006,"Marty Schottenheimer","SDG","16","80"
"700",2015,"Dan Quinn","ATL","16","85"
"701",2016,"Dan Quinn","ATL","16","85"
"702",2017,"Dan Quinn","ATL","16","85"
"703",2018,"Dan Quinn","ATL","16","85"
"704",2019,"Dan Quinn","ATL","16","85"
"705",2020,"Dan Quinn","ATL","5","85"
"706",2000,"Mike Martz","STL","16","85"
"707",2001,"Mike Martz","STL","16","85"
"708",2002,"Mike Martz","STL","16","85"
"709",2003,"Mike Martz","STL","16","85"
"710",2004,"Mike Martz","STL","16","85"
"711",2005,"Mike Martz","STL","5","85"
"712",2014,"Jay Gruden","WAS","16","85"
"713",2015,"Jay Gruden","WAS","16","85"
"714",2016,"Jay Gruden","WAS","16","85"
"715",2017,"Jay Gruden","WAS","16","85"
"716",2018,"Jay Gruden","WAS","16","85"
"717",2019,"Jay Gruden","WAS","5","85"
"718",2023,"Frank Reich","CAR","9","9"
"719",2023,"DeMeco Ryans","HOU","9","9"
"720",2018,"Mike Vrabel","TEN","16","90"
"721",2019,"Mike Vrabel","TEN","16","90"
"722",2020,"Mike Vrabel","TEN","16","90"
"723",2021,"Mike Vrabel","TEN","17","90"
"724",2022,"Mike Vrabel","TEN","17","90"
"725",2023,"Mike Vrabel","TEN","9","91"
"726",2007,"Ken Whisenhunt","ARI","16","96"
"727",2008,"Ken Whisenhunt","ARI","16","96"
"728",2009,"Ken Whisenhunt","ARI","16","96"
"729",2010,"Ken Whisenhunt","ARI","16","96"
"730",2011,"Ken Whisenhunt","ARI","16","96"
"731",2012,"Ken Whisenhunt","ARI","16","96"
"732",2000,"Mike Sherman","GNB","16","96"
"733",2001,"Mike Sherman","GNB","16","96"
"734",2002,"Mike Sherman","GNB","16","96"
"735",2003,"Mike Sherman","GNB","16","96"
"736",2004,"Mike Sherman","GNB","16","96"
"737",2005,"Mike Sherman","GNB","16","96"
"738",2012,"Chuck Pagano","IND","16","96"
"739",2013,"Chuck Pagano","IND","16","96"
"740",2014,"Chuck Pagano","IND","16","96"
"741",2015,"Chuck Pagano","IND","16","96"
"742",2016,"Chuck Pagano","IND","16","96"
"743",2017,"Chuck Pagano","IND","16","96"
"744",2000,"Jim Haslett","NOR","16","96"
"745",2001,"Jim Haslett","NOR","16","96"
"746",2002,"Jim Haslett","NOR","16","96"
"747",2003,"Jim Haslett","NOR","16","96"
"748",2004,"Jim Haslett","NOR","16","96"
"749",2005,"Jim Haslett","NOR","16","96"
"750",2009,"Rex Ryan","NYJ","16","96"
"751",2010,"Rex Ryan","NYJ","16","96"
"752",2011,"Rex Ryan","NYJ","16","96"
"753",2012,"Rex Ryan","NYJ","16","96"
"754",2013,"Rex Ryan","NYJ","16","96"
"755",2014,"Rex Ryan","NYJ","16","96"
"756",2007,"Norv Turner","SDG","16","96"
"757",2008,"Norv Turner","SDG","16","96"
"758",2009,"Norv Turner","SDG","16","96"
"759",2010,"Norv Turner","SDG","16","96"
"760",2011,"Norv Turner","SDG","16","96"
"761",2012,"Norv Turner","SDG","16","96"
"762",2000,"Steve Mariucci","SFO","16","96"
"763",2001,"Steve Mariucci","SFO","16","96"
"764",2002,"Steve Mariucci","SFO","16","96"
"765",2000,"Tony Dungy","TAM","16","96"
"766",2001,"Tony Dungy","TAM","16","96"
