pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id
TourSa00,Samori Toure,00-0037098,258,7,2023,0,GB,0,13.200000000000001,5,2.64,11,2.2,0.21549338426323872,-0.44472710402915255,49,4.8,10,2.5,4,0,0,0,0,0,0,0,0,0.8015433548395272,0.21162524638487257,43.5,0,0,1,WR,0.68,0,235,no_combine_cluster,NA
LondDr00,Drake London,00-0037238,8,1,2022,0,ATL,0,178.6,17,10.505882352941176,117,6.882352941176471,0.6416882560323164,0.6907267245913535,71.29411764705883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,185,235,5,LondDr00
LondDr00,Drake London,00-0037238,8,1,2023,0,ATL,0,93.68,8,11.71,57,7.125,0.49897595693875496,0.21778927767106826,69.375,10.505882352941176,117,6.882352941176471,17,0,0,0,0,0,0,0,0,0.6907267245913535,0.6416882560323164,71.29411764705883,0,0,1,WR,0,172,117,5,LondDr00
OlavCh00,Chris Olave,00-0037239,11,1,2022,0,NO,0,198.2,15,13.213333333333333,119,7.933333333333334,0.6725229253489485,1.5868899940847263,112.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,94,82,2,OlavCh00
OlavCh00,Chris Olave,00-0037239,11,1,2023,0,NO,0,101.70000000000002,8,12.712500000000002,77,9.625,0.6758446629925849,0.7298955437627417,131.25,13.213333333333333,119,7.933333333333334,15,0,0,0,0,0,0,0,0,1.5868899940847263,0.6725229253489485,112.4,0,0,1,WR,0.08,54,140,2,OlavCh00
WillJa11,Jameson Williams,00-0037240,12,1,2022,0,DET,0,15.100000000000001,6,2.516666666666667,9,1.5,0.1472419481967592,-0.22494202066445723,24.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,22,59,6,WillJa11
WillJa11,Jameson Williams,00-0037240,12,1,2023,0,DET,0,19.1,4,4.775,15,3.75,0.28849532376575315,-0.8712177974230144,58.75,2.516666666666667,9,1.5,6,0,0,0,0,0,0,0,0,-0.22494202066445723,0.1472419481967592,24.666666666666668,0,0,1,WR,0.06,81,97,6,WillJa11
PickGe00,George Pickens,00-0037247,52,2,2022,0,PIT,0,166.5,17,9.794117647058824,84,4.9411764705882355,0.4378581880203153,2.6056535013120117,72.94117647058823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.16,4,171,4,PickGe00
PickGe00,George Pickens,00-0037247,52,2,2023,0,PIT,0,99.80000000000001,7,14.257142857142858,53,7.571428571428571,0.6768117575011764,1.9238649704122064,101.14285714285714,9.794117647058824,84,4.9411764705882355,17,0,0,0,0,0,0,0,0,2.6056535013120117,0.4378581880203153,72.94117647058823,0,0,1,WR,0,52,47,4,PickGe00
DulcGr00,Greg Dulcich,00-0037252,80,3,2022,0,DEN,0,86.10000000000001,10,8.610000000000001,55,5.5,0.4228632968345635,0.046830821826852366,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,41,182,10,DulcGr00
DulcGr00,Greg Dulcich,00-0037252,80,3,2023,0,DEN,0,5.5,2,2.75,4,2,0.177401418026418,-2.0787805774307344,11.5,8.610000000000001,55,5.5,10,0,0,0,0,0,0,0,0,0.046830821826852366,0.4228632968345635,62.4,0,0,1,TE,0,74,140,10,DulcGr00
BellDa02,David Bell,00-0037257,99,3,2022,0,CLE,0,45.4,14,3.242857142857143,35,2.5,0.16461025958219647,-0.7927952890853963,17.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.07,104,199,5,BellDa02
