pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,total_wopr,pro_fr_id,estimated_pfr_id,new_pfr_id,display_name,fixed_pfr_id,season_snaps,avg_snap_rate,pts_per_snap,targets_per_snap,wopr_per_snap,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id,starter_qbr_ly,qbr_ly_bin
SkowBe00,Ben Skowronek,00-0036862,249,7,2022,0,LA,0,84.30000000000001,14,6.021428571428572,61,4.357142857142857,0.3123570326042375,-0.39204426297302625,34.285714285714285,4.3729984564593245,SkowBe00,0,SkowBe00,0,0,696,60.539498602981176,0.10590452261306534,0.07663316582914573,0.005493716653843373,3.4714285714285715,20,2.857142857142857,7,0,0,0,0,0,0,0,0,0.2012228516994487,0.19943222333822594,30,0,0,0.08741007194244604,0.07194244604316546,0.005021674688372595,178,1,WR,0,66,152,no_combine_cluster,NA,69.2,7
SkowBe00,Ben Skowronek,00-0036862,249,7,2023,0,LA,0,13.200000000000001,6,2.2,6,1,0,0,7.833333333333333,0,SkowBe00,0,SkowBe00,0,0,117,66.66166462950089,0.060829493087557605,0.027649769585253458,0,6.021428571428572,61,4.357142857142857,14,3.4714285714285715,20,2.857142857142857,7,0,0,0,0,-0.39204426297302625,0.3123570326042375,34.285714285714285,0.19943222333822594,0.19943222333822594,0.10590452261306534,0.07663316582914573,0.005493716653843373,696,2,WR,0.1,75,92,no_combine_cluster,NA,52.3,3
TurnCo00,Cole Turner,00-0037078,149,5,2022,0,WAS,0,4.300000000000001,5,0.8600000000000001,9,1.8,0.14714228832409496,-1.3498764804036214,13.6,0.7357114416204747,TurnCo00,0,TurnCo00,0,0,245,68.14523221162607,0.01246376811594203,0.02608695652173913,0.00213249693223326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,0,155,9,TurnCo00,60.6,5
TurnCo00,Cole Turner,00-0037078,149,5,2023,0,WAS,0,16.2,4,4.05,12,3,0.2166238905971912,-0.5079837717130431,21.5,0.8664955623887648,TurnCo00,0,TurnCo00,0,0,108,67.67994204260651,0.07788461538461539,0.057692307692307696,0.004165844049945985,0.8600000000000001,9,1.8,5,0,0,0,0,0,0,0,0,-1.3498764804036214,0.14714228832409496,13.6,0,0,0.01246376811594203,0.02608695652173913,0.00213249693223326,245,1,TE,0,29,31,9,TurnCo00,NA,no_history
CalcGr00,Grant Calcaterra,00-0037086,198,6,2022,0,PHI,0,13.1,5,2.62,9,1.8,0.11131413765532713,0.415599341206948,16.2,0.5565706882766357,CalcGr00,0,CalcGr00,0,0,227,69.4830424523191,0.0400611620795107,0.027522935779816515,0.0017020510344851244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,174,82,8,CalcGr00,54.6,3
YounDa02,Dareke Young,00-0037093,233,7,2022,0,SEA,0,4.4,1,4.4,2,2,0.10976457998929909,2.090640461887233,1,0.10976457998929909,YounDa02,0,YounDa02,0,0,109,67.08739303881005,0.02105263157894737,0.009569377990430622,5.251893779392301e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.05,181,103,no_combine_cluster,NA,45.8,2
TourSa00,Samori Toure,00-0037098,258,7,2022,0,GB,0,19.2,4,4.8,10,2.5,0.21162524638487257,0.8015433548395272,43.5,0.8465009855394903,TourSa00,0,TourSa00,0,0,112,63.30089930709126,0.09056603773584905,0.04716981132075472,0.003992929177073067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.83,49,248,no_combine_cluster,NA,74.1,8
TourSa00,Samori Toure,00-0037098,258,7,2023,0,GB,0,13.200000000000001,5,2.64,11,2.2,0.21549338426323872,-0.44472710402915255,49,1.0774669213161936,TourSa00,0,TourSa00,0,0,102,62.39559938808059,0.06534653465346535,0.054455445544554455,0.005333994659981156,4.8,10,2.5,4,0,0,0,0,0,0,0,0,0.8015433548395272,0.21162524638487257,43.5,0,0,0.09056603773584905,0.04716981132075472,0.003992929177073067,112,1,WR,0.68,0,235,no_combine_cluster,NA,NA,no_history
LondDr00,Drake London,00-0037238,8,1,2022,0,ATL,0,178.6,17,10.505882352941176,117,6.882352941176471,0.6416882560323164,0.6907267245913535,71.29411764705883,10.908700352549378,LondDr00,0,LondDr00,0,0,819,61.951724540299686,0.194341675734494,0.12731229597388466,0.011870185367300737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,185,235,5,LondDr00,53.2,3
LondDr00,Drake London,00-0037238,8,1,2023,0,ATL,0,93.68,8,11.71,57,7.125,0.49903743103979603,0.21778927767106826,69.375,3.9922994483183682,LondDr00,0,LondDr00,0,0,452,68.95389462900557,0.16971014492753625,0.10326086956521739,0.0072324265368086385,10.505882352941176,117,6.882352941176471,17,0,0,0,0,0,0,0,0,0.6907267245913535,0.6416882560323164,71.29411764705883,0,0,0.194341675734494,0.12731229597388466,0.011870185367300737,819,1,WR,0,172,94,5,LondDr00,NA,no_history
