round,points_per_game,points_pg_ly,targets_pg_ly,wopr_pg_ly,pick,air_yards_pg_ly,total_games_ly,pass_attempt_difference,total_positional_investment,target_dropoff,epa_pg_ly,years_pro,targets_added_this_year,is_on_new_team,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,total_passing_tds_ly,total_passing_yds_ly,total_passing_fp_ly,is_returning_coach,hc_years_with_team,catch_rate_ly,position,fp_dropoff,starter_epa_passing_ly,starter_epa_persnap_passing_ly,combine_cluster,qbr_ly_bin,points_2y,total_games_2y,points_3y,total_games_3y,targets_pg_2y,targets_pg_3y,wopr_pg_2y,wopr_pg_3y,player_id,season,pfr_player_name
5,2.435714285714286,0,0,0,148,0,0,0,0,173,0,0,74,no,0,0,0,0,45,5087,383.48,1,6,0,WR,298.5,80.9,0.09770531400966184,4,6,0,0,0,0,0,0,0,0,00-0037261,2022,Khalil Shakir
5,0.5142857142857143,0,0,0,162,0,0,0,0,69,0,0,41,no,0,0,0,0,20,3856,234.24,0,1,0,WR,55.08000000000004,45,0.09,no_combine_cluster,5,0,0,0,0,0,0,0,0,00-0037272,2022,Montrell Washington
5,3.95,0,0,0,163,0,0,0,0.79,52,0,0,150,no,0,0,0,0,24,3965,254.6,1,5,0,WR,47.10000000000002,59.5,0.0875,4,5,0,0,0,0,0,0,0,0,00-0037273,2022,Kyle Philips
5,3.3666666666666667,0,0,0,170,0,0,0,0,55,0,0,26,no,0,0,0,0,21,3630,229.2,0,1,0,TE,30.20000000000016,23.5,0.049893842887473464,9,1,0,0,0,0,0,0,0,0,00-0037277,2022,Teagan Quitoriano
5,2.0214285714285714,0,0,0,177,0,0,0,0,85,0,0,22,no,0,0,0,0,23,3884,247.36,1,2,0,TE,111.89999999999998,41.6,0.07086882453151619,8,1,0,0,0,0,0,0,0,0,00-0037282,2022,James Mitchell
6,5.483333333333333,0,0,0,191,0,0,0,0,109,0,0,58,no,0,0,0,0,34,4450,314,0,1,0,WR,243.30000000000018,73,0.1123076923076923,2,4,0,0,0,0,0,0,0,0,00-0037291,2022,Jalen Nailor
6,0.9,0,0,0,202,0,0,0,0.28,8,0,0,104,no,0,0,0,0,21,3619,228.76,1,3,0,WR,-39.89999999999998,27.9,0.049468085106382974,no_combine_cluster,2,0,0,0,0,0,0,0,0,00-0037300,2022,Michael Woods II
6,2.1058823529411765,0,0,0,208,0,0,0,0,202,0,0,4,no,0,0,0,0,25,4232,269.28,1,16,0,TE,209,0,0,10,other,0,0,0,0,0,0,0,0,00-0037304,2022,Connor Heyward
6,1.2352941176470589,0,0,0,218,0,0,0,0.25,225,0,0,293,no,0,0,0,0,46,5983,423.32,0,1,0,TE,444.4000000000001,109.8,0.13759398496240602,no_combine_cluster,8,0,0,0,0,0,0,0,0,00-0037311,2022,Ko Kieft
2,7.01875,0,0,0,53,0,0,0,0,35,0,0,0,no,0,0,0,0,27,3588,251.52,1,5,0,WR,35.20000000000016,68.3,0.09985380116959064,3,3,0,0,0,0,0,0,0,0,00-0037664,2022,Alec Pierce
3,0.4,0,0,0,88,0,0,0,0,165,0,0,81,no,0,0,0,0,41,5233,373.32,1,3,0,WR,367.82000000000005,90.2,0.12510402219140085,6,4,0,0,0,0,0,0,0,0,00-0037666,2022,Jalen Tolbert
1,12.70588235294118,0,0,0,10,0,0,0,0,96,0,0,150,no,0,0,0,0,20,3959,238.36,1,2,0,WR,77.30000000000018,0,0,2,other,0,0,0,0,0,0,0,0,00-0037740,2022,Garrett Wilson
1,10.883333333333333,0,0,0,16,0,0,0,0,53,0,0,0,no,0,0,0,0,21,3746,233.84,1,3,0,WR,8.700000000000045,58.3,0.08996913580246912,2,5,0,0,0,0,0,0,0,0,00-0037741,2022,Jahan Dotson
1,8.009090909090908,0,0,0,18,0,0,0,0.12,52,0,0,150,no,0,0,0,0,24,3965,254.6,1,5,0,WR,47.10000000000002,59.5,0.0875,5,5,0,0,0,0,0,0,0,0,00-0037742,2022,Treylon Burks
2,3.8437500000000004,0,0,0,55,0,0,0,0,145,0,0,176,no,0,0,0,0,27,4756,298.24,1,4,0,TE,270.41999999999996,61.6,0.09746835443037975,10,5,0,0,0,0,0,0,0,0,00-0037744,2022,Trey McBride
3,3.4545454545454546,0,0,0,71,0,0,0,0,82,0,0,168,no,0,0,0,0,16,3635,209.4,0,1,0,WR,39.5,6.5,0.0163727959697733,4,1,0,0,0,0,0,0,0,0,00-0037745,2022,Velus Jones Jr.
3,4.946666666666668,0,0,0,73,0,0,0,0.08,35,0,0,0,no,0,0,0,0,27,3588,251.52,1,5,0,TE,35.20000000000016,68.3,0.09985380116959064,9,3,0,0,0,0,0,0,0,0,00-0037755,2022,Jelani Woods
3,0.36,0,0,0,101,0,0,0,0,96,0,0,150,no,0,0,0,0,20,3959,238.36,1,2,0,TE,77.30000000000018,0,0,8,other,0,0,0,0,0,0,0,0,00-0037805,2022,Jeremy Ruckert
4,5.71764705882353,0,0,0,143,0,0,0,0,52,0,0,150,no,0,0,0,0,24,3965,254.6,1,5,0,TE,47.10000000000002,59.5,0.0875,10,5,0,0,0,0,0,0,0,0,00-0037809,2022,Chigoziem Okonkwo
4,7.815384615384615,0,0,0,132,0,0,0,0.68,110,0,0,49,no,0,0,0,0,39,4751,346.03999999999996,1,4,0,WR,237.30000000000007,85.1,0.13950819672131146,6,8,0,0,0,0,0,0,0,0,00-0037816,2022,Romeo Doubs
3,0.22307692307692306,0,0,0,105,0,0,0,0,44,0,0,91,no,0,0,0,0,28,4972,310.88,1,6,0,WR,224.86000000000013,0,0,2,other,0,0,0,0,0,0,0,0,00-0037828,2022,Danny Gray
4,5.70625,0,0,0,139,0,0,0,0.19,155,0,0,75,no,0,0,0,0,21,4267,254.68,1,15,0,TE,192.80000000000018,43.7,0.07613240418118468,10,4,0,0,0,0,0,0,0,0,00-0037838,2022,Isaiah Likely
4,3.025,0,0,0,129,0,0,0,0,165,0,0,81,no,0,0,0,0,41,5233,373.32,1,3,0,TE,367.82000000000005,90.2,0.12510402219140085,9,4,0,0,0,0,0,0,0,0,00-0038041,2022,Jake Ferguson
4,4.45,0,0,0,128,0,0,0,0.16,155,0,0,75,no,0,0,0,0,21,4267,254.68,1,15,0,TE,192.80000000000018,43.7,0.07613240418118468,9,4,0,0,0,0,0,0,0,0,00-0038046,2022,Charlie Kolar
2,3.0875000000000004,0,0,0,54,0,0,0,0,171,0,0,83,no,0,0,0,0,49,5996,435.84000000000003,1,10,0,WR,327.70000000000005,85.5,0.10647571606475716,4,7,0,0,0,0,0,0,0,0,00-0038090,2022,Skyy Moore
4,1.3,0,0,0,125,0,0,0,0,147,0,0,240,no,0,0,0,0,21,3936,241.44,0,1,0,WR,143.19999999999982,46.8,0.09936305732484076,3,3,0,0,0,0,0,0,0,0,00-0038092,2022,Erik Ezukanma
2,5.1,0,0,0,50,0,0,0,0,60,0,0,117,no,0,0,0,0,26,4330,277.2,1,23,0,WR,112.20000000000016,60.6,0.09603803486529319,2,4,0,0,0,0,0,0,0,0,00-0038104,2022,Tyquan Thornton
4,6.25,0,0,0,112,0,0,0,0,92,0,0,19,no,0,0,0,0,15,3463,198.52,0,1,0,TE,-40.799999999999955,32.1,0.06800847457627118,10,2,0,0,0,0,0,0,0,0,00-0038115,2022,Daniel Bellinger
2,8.6,0,0,0,43,0,0,0,0,92,0,0,19,no,0,0,0,0,15,3463,198.52,0,1,0,WR,-40.799999999999955,32.1,0.06800847457627118,1,2,0,0,0,0,0,0,0,0,00-0038117,2022,Wan'Dale Robinson
2,11.721428571428572,0,0,0,34,0,0,0,0.22,110,0,0,49,no,0,0,0,0,39,4751,346.03999999999996,1,4,0,WR,237.30000000000007,85.1,0.13950819672131146,3,8,0,0,0,0,0,0,0,0,00-0038124,2022,Christian Watson
4,5.8187500000000005,0,0,0,106,0,0,0,0.06,225,0,0,293,no,0,0,0,0,46,5983,423.32,0,1,0,TE,444.4000000000001,109.8,0.13759398496240602,8,8,0,0,0,0,0,0,0,0,00-0038129,2022,Cade Otton
1,13.68125,14.625,7.75,0.43889690279731425,13,60.3125,17,0,0.18,53.05859375,3.8202289688656323,14,6.7734375,no,0.21951219512195122,0.11632270168855535,0.006587570773693272,1026.375,40.375,5700.3125,389.51250000000005,1,6,0.6940298507462687,TE,374.68398437499997,73.3125,0.09871244635193133,no_combine_cluster,7,0,0,0,0,0,0,0,0,00-0006101,2013,Tony Gonzalez
4,4.083333333333333,8.626666666666669,3.933333333333333,0.24869236170385753,105,39.266666666666666,15.9375,-28,0.05,9.03125,1.8390102555773964,14,151.2734375,yes,0.18565279770444768,0.08464849354375897,0.005352059434085886,634.3125,35.0625,5457,358.53,1,6,0.6521739130434783,WR,195.75234375000008,35.381249999999994,0.05195007800312012,no_combine_cluster,2,0,0,0,0,0,0,0,0,00-0015754,2013,Brandon Stokley
1,6.231249999999999,9.106250000000001,3.875,0,16,36.8125,17,0,0,-63.21875,0,12,0,no,0.26299638989169677,0.11191335740072202,0,482.375,27.625,4017.3125,271.1925,1,4,0.5694444444444444,WR,181.64101562500008,41.650000000000006,0.06901408450704226,2,7,0,0,0,0,0,0,0,0,00-0020494,2013,Santana Moss
1,2.16,6.231249999999999,4.875,0.26908834839639545,16,40.0625,17,0,0.16,241.5859375,-0.7700068414913788,13,226.91015625,no,0.15314900153609828,0.11981566820276497,0.006613538516654881,585.4375,21.25,4310.5625,257.4225,0,1,0.4772727272727273,WR,263.93828124999993,0,0,2,other,9.106250000000001,17,0,0,3.875,0,0,0,00-0020494,2014,Santana Moss
1,14.685714285714285,16.8125,12.1875,0.7194363979716646,30,129.25,17,0,0,159.17578125,0.2459708583595107,12,97.0859375,no,0.22815945716709077,0.16539440203562342,0.00976334382319477,1146.4375,24.4375,4953.375,295.885,1,2,0.5170731707317073,WR,331.22109374999997,44.837500000000006,0.055820105820105825,4,6,0,0,0,0,0,0,0,0,00-0020498,2013,Reggie Wayne
1,10.126666666666667,14.685714285714285,8.285714285714286,0.6004750200867534,30,85.71428571428571,7.4375,0,0.31,161.43359375,3.1956384724021025,13,116.27734375,no,0.1943289224952741,0.10964083175803403,0.007945794216648911,455.8125,30.8125,5021.375,324.10499999999996,1,3,0.5588235294117647,WR,178.36718749999977,27.625,0.03672316384180791,4,6,16.8125,17,0,0,12.1875,0,0.7194363979716646,0.7194363979716646,00-0020498,2014,Reggie Wayne
3,10.833333333333336,13.44375,8.625,0.705868052141597,74,114.5,17,0,0,-25.96484375,1.5942736512858673,12,71.12109375,no,0.21275964391691393,0.13649851632047477,0.011171007749026263,967.9375,20.1875,4172.4375,247.6475,1,3,0.49324324324324326,WR,125.42148437500005,21.56875,0.02998522895125554,4,3,0,0,0,0,0,0,0,0,00-0020337,2013,Steve Smith Sr.
3,13.718749999999998,10.833333333333336,7.333333333333333,0.5945821560886986,74,81.26666666666667,15.9375,146,0.06,194.171875,1.6609942918869507,13,170.46484375,yes,0.18678160919540232,0.12643678160919541,0.010251416484287906,818.125,20.1875,4158.625,247.095,1,7,0.5333333333333333,WR,203.99335937499998,9.66875,0.01206896551724138,4,2,13.44375,17,0,0,8.625,0,0.705868052141597,0.705868052141597,00-0020337,2014,Steve Smith Sr.
3,18.714285714285715,13.718749999999998,8.375,0.5968891805492231,74,88.3125,17,0,0.78,92.5703125,2.4476053192338765,14,39.51171875,no,0.23806941431670278,0.14533622559652928,0.010358163653782613,873.375,35.0625,4820.5625,333.0725,1,8,0.5486111111111112,WR,266.5347656249998,62.58125,0.09217527386541471,4,7,10.833333333333336,15.9375,13.44375,16,7.333333333333333,8.625,0.5945821560886986,0.5945821560886986,00-0020337,2015,Steve Smith Sr.
3,13.135714285714286,18.714285714285715,10.428571428571429,0.5891436993560946,74,102.71428571428571,7.4375,0,0.25,65.4765625,3.2025141210709287,15,81.28125,no,0.2930648769574944,0.16331096196868009,0.009225963972019377,368.6875,22.3125,4727.0625,278.33250000000004,1,9,0.5542168674698795,WR,-123.72812500000005,32.3,0.06623093681917211,4,2,13.718749999999998,17,10.833333333333336,15,8.375,7.333333333333333,0.5968891805492231,0.5968891805492231,00-0020337,2016,Steve Smith Sr.
1,17.48125,18.4875,10.1875,0.7277291823074459,3,115.5,17,0,0.78,3.38671875,4.743223464224951,10,0,no,0.274907063197026,0.15148698884758363,0.010821251781523359,1037,25.5,4941.6875,299.66749999999996,1,8,0.6473988439306358,WR,192.81718750000016,47.068749999999994,0.07203252032520324,3,4,0,0,0,0,0,0,0,0,00-0022044,2013,Andre Johnson
1,12.706666666666667,17.48125,11.3125,0.6930111571250236,3,125.25,17,0,0,205.4609375,0.6934261671002515,11,3.38671875,no,0.2556672760511883,0.16544789762340037,0.010135446539305646,1056.125,20.1875,4444.4375,258.5275,0,1,0.5706806282722513,WR,244.5210937499998,20.825000000000003,0.04633569739952719,3,4,18.4875,17,0,0,10.1875,0,0.7277291823074459,0.7277291823074459,00-0022044,2014,Andre Johnson
1,7.206250000000001,12.706666666666667,9.8,0.7576173247296787,3,90.53333333333333,15.9375,176,0.69,203.203125,-0.2630049958984043,12,165.94921875,yes,0.18558909444985394,0.14313534566699124,0.011065491597804459,984.9375,47.8125,6193.3125,438.98249999999996,1,4,0.5414012738853503,WR,463.19023437499976,60.66875,0.07664429530201343,3,6,17.48125,17,18.4875,16,11.3125,10.1875,0.6930111571250236,0.6930111571250236,00-0022044,2015,Andre Johnson
1,3.6875000000000004,7.206250000000001,4.8125,0.29825458526874143,3,49.5,17,-68,0.16,30.48046875,0.8902716009209735,13,193.04296875,yes,0.14287484510532839,0.09541511771995044,0.005913349893804043,751.1875,26.5625,4136.3125,271.7025,1,2,0.47126436781609193,WR,-82.07148437499998,12.75,0.025157232704402517,3,2,12.706666666666667,15.9375,17.48125,16,9.8,11.3125,0.7576173247296787,0.7576173247296787,00-0022044,2016,Andre Johnson
1,6.941666666666666,7.15625,4.6875,0.25606282829490135,24,35.9375,17,-6,0,9.03125,-0.541121013613687,10,151.2734375,yes,0.17140718562874252,0.1122754491017964,0.006133241396285062,603.5,35.0625,5457,358.53,1,6,0.5529411764705883,TE,195.75234375000008,35.381249999999994,0.05195007800312012,8,2,0,0,0,0,0,0,0,0,00-0022165,2013,Dallas Clark
2,15.375000000000002,12.226666666666668,7.466666666666667,0.4953020832856384,54,80.4,15.9375,-124,0.19,-68.86328125,1.3774237203616833,10,191.9140625,yes,0.18771750255885367,0.11463664278403275,0.007604433213187898,931.8125,28.6875,4620.8125,299.58250000000004,1,3,0.5327868852459017,WR,158.49843750000008,0,0,5,no_history,0,0,0,0,0,0,0,0,00-0022084,2013,Anquan Boldin
2,13.725000000000001,15.375000000000002,8.0625,0.6839140043150733,54,76.875,17,0,0.25,14.67578125,5.5180180035297814,11,114.01953125,no,0.27212389380530977,0.1426991150442478,0.01210467264274466,854.25,25.5,4022.625,262.905,1,4,0.6115107913669064,WR,54.1875,27.09375,0.04411764705882353,5,6,12.226666666666668,15.9375,0,0,7.466666666666667,0,0.4953020832856384,0.4953020832856384,00-0022084,2014,Anquan Boldin
2,12.135714285714286,13.725000000000001,8.1875,0.6023401013402805,54,79.375,17,0,0.18,76.765625,3.4192663406017445,12,112.890625,no,0.20854700854700856,0.12440645773979107,0.009152366212197994,1012.5625,21.25,3619.9375,229.7975,0,1,0.5886524822695035,WR,137.1621093749999,32.19375,0.04535928143712575,5,4,15.375000000000002,17,12.226666666666668,15,8.0625,7.466666666666667,0.6839140043150733,0.6839140043150733,00-0022084,2015,Anquan Boldin
2,10.837500000000002,12.135714285714286,7.928571428571429,0.5587092901743249,54,63.857142857142854,14.875,106,0,-2.2578125,0.08440738157967864,13,292.38671875,yes,0.19824970828471414,0.1295215869311552,0.009127106257223511,804.3125,35.0625,4741.9375,329.9275,1,3,0.5702479338842975,WR,-121.1316406249999,45.474999999999994,0.06070921985815603,5,4,13.725000000000001,17,15.375000000000002,16,8.1875,8.0625,0.6023401013402805,0.6023401013402805,00-0022084,2016,Anquan Boldin
